DatasetID,year1,author1,DATA (B) 0.1,ERR-2 (PER-CENT) 0.944,ERR-3 (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,MONIT-ERR (PER-CENT) 0.955,EN-MIN (EV) 1.2,EN-MAX (EV) 1.3,MISC (SEE TEXT) 777,EN-NRM-MAX (EV) 777,EN-NRM-MIN (EV) 777,MONIT (B*EV) 777,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
234530022,2019,S.Amaducci+,12.96,1.39,0.34,0.37,,1.2,28.2,31.6,1.46,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,102.81,0.49,0.35,0.37,,1.2,31.6,35.5,0.68,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,34.15,0.85,0.36,0.37,,1.2,35.5,39.8,0.98,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,32.95,0.86,0.37,0.37,,1.2,39.8,44.7,0.95,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,34.8,0.83,0.37,0.37,,1.2,44.7,50.1,0.94,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,67.3,0.6,0.38,0.37,,1.2,50.1,56.2,0.75,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,43.96,0.74,0.39,0.37,,1.2,56.2,63.1,0.92,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,20.12,1.09,0.4,0.37,,1.2,63.1,70.8,1.3,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,27.88,0.92,0.41,0.37,,1.2,70.8,79.4,1.05,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
234530022,2019,S.Amaducci+,28.81,0.9,0.42,0.37,,1.2,79.4,89.1,1.03,11,7.8,247.5,92235,92-U-235,N,F,,3,18,CS,CS,1,2,"92-U-235(N,F),,SIG"
